id,make,model_full,model_short,model_common,model_scheme,year,country,rarity,type,fuel_capacity
2430,Ariel,Nomad,Ariel Nomad,,2,2016,UK,Rare,Unlimited Buggies,50
2467,Ferrari,488 GTB,Ferrari 488 GTB,,0,2015,Italy,Epic,Modern Supercars,78
2468,Dodge,Charger SRT Hellcat,Dodge Charger 15,Charger Hellcat,0,2015,USA,Rare,Modern Muscle,70
2469,Toyota,Sports 800,Sports 800 '65,,0,1965,Japan,,Classic Sports Cars,30
2470,Aston Martin,Vulcan,AM Vulcan,,0,2016,UK,Legendary,Extreme Track Toys,120
2471,Mercedes,C 63 S Coupé,M-B AMG C 63 '16,C 63,0,2016,Germany,Rare,Modern Super Saloons,66
2472,McLaren,570S Coupé,McLaren 570S,,2,2015,UK,Epic,Modern Supercars,72
2473,Audi,R8 V10 Plus,Audi R8 V10 plus,,0,2016,Germany,,Modern Supercars,73
2486,Radical,RXC Turbo,Radical RXC,,2,2015,UK,Epic,Extreme Track Toys,70
2489,Abarth,695 Biposto,Abarth 695 '16,,2,2016,Italy,,Hot Hatch,35
2494,Range Rover,Sport SVR,Range Rover '15,SVR,2,2015,UK,Rare,Sports Utility Heroes,105
2507,Chevrolet,150 Utility Sedan,Chevy 150 Sedan,150,2,1955,USA,Common,Rods and Customs,60
2512,Nissan,Skyline GTS-R,Nissan GT-R '87,,1,1987,Japan,Legendary,Retro Racers,78
2515,Penhall,The Cholla,Penhall Cholla,,2,2011,USA,Rare,Unlimited Buggies,
2517,Ford,#11 Rockstar F-150 Trophy Truck,#11 Ford F-150,F-150 Trophy,1,2014,USA,Epic,Unlimited Offroad,350
2526,Koenigsegg,Regera,Regera,,0,2016,Sweden,Legendary,Hypercars,82
2527,Aston Martin,DB11,AM DB11,,2,2017,UK,Epic,Super GT,78
2534,Porsche,968 Turbo S,Porsche 968,,2,1993,Germany,Rare,Retro Sports Cars,74
2535,Porsche,928 GTS,Porsche 928 GTS,,0,1993,Germany,Rare,Retro Sports Cars,86
2542,Alfa Romeo,Giulia Quadrifoglio,Alfa Giulia '17,,0,2017,Italy,Rare,Modern Super Saloons,58
2544,Dodge,Viper ACR,Dodge Viper '16,,0,2016,USA,,Track Toys,70
2549,Porsche,#3 917 LH,Porsche 917 LH,917 LH,2,1970,Germany,Legendary,Classic Racers,120
2551,Ford,FPV Limited Edition Pursuit Ute,Ford Ute '14,FPV Ute,0,2014,USA,Common,Utility Heroes,80
2552,Alumicraft,Class 10 Race Car,Alumi Craft C.10,Class 10,2,2015,USA,Epic,Unlimited Buggies,120
2563,Reliant,Supervan III,Reliant Supervan,Supervan,0,1972,UK,Common,Utility Heroes,27
2566,Toyota,FJ40,Toyota FJ40,,0,1979,Japan,Common,Pickups & 4x4s,62
2568,Volkswagen,Class 5/1600 Baja Bug,VW Class 5 Bug,Baja Bug,0,1969,Germany,Rare,Buggies,55
2569,Ultima,Evolution Coupé 1020,Ultima 1020,Evolution 1020,2,2015,UK,Epic,Extreme Track Toys,78
2574,AMG TD,M12S Warthog CST,M12S Warthog CST,Warthog,1,2554,USA,Legendary,Unlimited Offroad,40
2577,Ferrari,F12tdf,Ferrari F12tdf,,2,2015,Italy,Epic,Super GT,92
2613,GMC,Jimmy,GMC K5 Jimmy,,0,1970,USA,Common,Pickups & 4x4s,68
2614,Ford,Mustang GT 2+2 Fastback,Ford Mustang '68,Mustang GT,1,1968,USA,Legendary,Classic Muscle,61
2616,Lamborghini,Centenario LP 770-4,Lambo Centenario,Centenario,0,2016,Italy,Legendary,Hypercars,90
2618,Nissan,GT-R (R35),Nissan GT-R '17,GT-R,0,2017,Japan,Rare,Modern Supercars,74
2625,Bentley,Bentayga,Bentley Bentayga,,0,2016,UK,,Sports Utility Heroes,85
2628,BMW,M4 GTS,BMW M4 '16,M4,0,2016,Germany,Rare,Modern Super Saloons,60
2636,Toyota,#1 T100 Baja Truck,#1 Toyota T100,Baja,0,1993,Japan,Legendary,Unlimited Offroad,100
2647,Pagani,Huayra BC Coupé,Pagani Huayra BC,Huayra,0,2016,Italy,Legendary,Hypercars,74
2649,Ford,Crown Victoria Police Interceptor,Crown Victoria,Crown Vic,1,2010,USA,Common,Retro Muscle,72
2652,Mitsubishi,Montero Evolution,Montero Evo,Montero,0,1997,Japan,,Pickups & 4x4s,75
2654,Mercedes,GT R,M-B AMG GTR,,0,2017,Germany,,Super GT,65
2659,Nissan,Silvia K's Aero,Silvia '98,Silvia,0,1998,Japan,Common,Retro Sports Cars,65
2663,Polaris,#37 Polaris RZR Pro 2 Truck,#37 Pro 2 Truck,Pro 2 Truck,2,2016,USA,Epic,Unlimited Offroad,65
2711,Traffic,3 Traffic,Mazda Traffic,,0,,,,,
2712,Traffic,Galant Traffic,Galant Traffic,,0,,,,,
2713,Traffic,Box Truck,Box Traffic,,0,,,,,
2714,Traffic,Bus,Bus Traffic,,0,,,,,
2738,Nissan,NISMO GT-R LM,Nissan GT-R '95,,1,1995,Japan,Legendary,Retro Sports Cars,65
2739,Chevrolet,Camaro ZL1,Chevy Camaro '17,,0,2017,USA,Rare,Modern Muscle,72
2742,Jeep,Trailcat,Jeep Trailcat,,0,2016,USA,Rare,Unlimited Offroad,68
2743,Toyota,Land Cruiser Arctic Trucks AT37,Toyota AT37,Arctic Truck,0,2016,Japan,,Pickups & 4x4s,87
2745,Honda,Ridgeline Baja Trophy Truck,Honda Trophy '15,Ridgeline,0,2015,Japan,Epic,Unlimited Offroad,265
2755,Porsche,911 GT2 RS,911 GT2 RS '18,,0,2018,Germany,,Retro Supercars,68
2773,Porsche,Cayenne Turbo,Porsche Cayenne,,0,2018,Germany,Epic,Sports Utility Heroes,100
2792,Ford,#2 GT40 Mk II,#2 Ford GT40,GT40,2,1966,USA,Legendary,Classic Racers,160
2793,Ferrari,#24 Ferrari Spa 330 P4,#24 Ferrari P4,330 P4,2,1967,Italy,Legendary,Classic Racers,114
2794,Porsche,911 Turbo S Leichtbau,P. 911 Turbo '93,,0,1993,Germany,,Retro Sports Cars,79
2801,Nissan,#11 Tomica Skyline Turbo Super Silhouette,Nis. #11 Skyline,Super Silhouette,2,1983,Japan,,Retro Racers,100
2822,Nissan,Safari Turbo,Nissan Safari,,2,1985,Japan,Treasure Car,Pickups & 4x4s,82
2825,Lotus,Elise GT1,Lotus Elise GT1,,0,1997,UK,Legendary,Retro Supercars,100
2841,Jeep,Grand Cherokee Trackhawk,Jeep Trackhawk,Trackhawk,2,2018,USA,Common,Sports Utility Heroes,93
2870,Honda,Civic Type R,Honda Civic '18,,0,2018,Japan,Common,Retro Hot Hatch,47
2871,Can-Am,Maverick X RS Turbo R,Can-Am Maverick,Maverick,2,2018,Canada,Common,UTVs,40
2872,Hyundai,Veloster N,Veloster N,,0,2019,Korea,Epic,Super Hot Hatch,50
2902,Traffic,Flatbed,Flatbed Traffic,,0,,,,,
2903,Traffic,LEGACY B4 2.0 GT Traffic,Legacy Traffic,Legacy,0,,,,,
2909,Dodge,Challenger SRT Demon,Dodge SRT Demon,,1,2018,USA,Rare,Modern Muscle,70
2910,Koenigsegg,Agera RS,Agera RS,,0,2017,Sweden,Legendary,Hypercars,82
2935,Funco,F9,Funco F9,,2,2018,USA,,Unlimited Buggies,120
2937,Ford,#14 Rahal Letterman Lanigan Racing Fiesta,#14 Ford Fiesta,Racing Fiesta,0,2017,USA,Epic,Rally Monsters,28
2968,Aston Martin,Valkyrie,AM Valkyrie,,0,2023,UK,Legendary,Hypercars,70
2974,Ferrari,812 Superfast,Ferrari 812,,0,2017,Italy,Legendary,Super GT,92
2986,Mercedes,Unimog U5023,M-B Unimog,Unimog,1,2014,Germany,Rare,Offroad,160
2987,Peel,P50,Peel P50,,2,1962,UK,Legendary,Cult Cars,7
2992,Jaguar,Lightweight E-Type,Jaguar LW E-Type,E-Type,0,1964,UK,Legendary,Classic Racers,64
2993,TVR,Griffith,TVR Griffith,,2,2018,UK,Rare,Modern Sports Cars,60
2995,Volkswagen,Golf GTI,VW Golf GTI '83,,0,1983,Germany,Common,Retro Hot Hatch,40
2996,Ford,#13 Ford Mustang,#13 Ford Mustang,Mustang,0,2015,USA,,Drift Cars,100
2997,HSV,#530 HSV Maloo GEN-F,#530 HSV Maloo,Maloo,0,2014,Australia,Common,Utility Heroes,71
3000,Nissan,#777 Nissan 240SX,#777 Nissan 240,240SX,2,1993,Japan,,Retro Sports Cars,60
3003,Dodge,#43 Dodge Viper SRT-10 ACR,#43 Dodge Viper,Viper ACR,0,2006,USA,Rare,Track Toys,70
3007,Volkswagen,#34 Andretti Rally Cross Beetle,#34 VW Beetle,Rally Beetle,0,2017,Germany,Epic,Rally Monsters,
3031,Porsche,#185 959 Prodrive Rally Raid,#185 Porsche 959,959 Rally,2,1985,Germany,Legendary,Rally Monsters,210
3035,KTM,X-Bow GT4,KTM X-Bow GT4,,0,2018,Austria,Epic,Extreme Track Toys,120
3037,BMW,#98 BMW 325i,#98 BMW 325i,325i,2,1989,USA,Epic,Drift Cars,63
3051,Ford,M-Sport Fiesta RS,Ford Fiesta RS,Fiesta RS,0,2017,USA,,Rally Monsters,80
3055,Jaguar,C-X75,Jaguar C-X75,,2,2010,UK,Legendary,Modern Supercars,60
3062,Ferrari,512 S,Ferrari 512 S,,2,1970,Italy,Legendary,Classic Racers,120
3063,Mercedes,X-Class,M-B X-Class,,0,2018,Germany,Common,Pickups & 4x4s,73
3064,Mercedes,GT 4-Door Coupé,M-B GT 4 '18,GT 4,2,2018,Germany,,Modern Super Saloons,80
3072,Porsche,911 GT3 RS,911 GT3 RS '19,,0,2019,Germany,Rare,Retro Supercars,90
3082,Maserati,MC12 Versione Corsa,MC12 Corsa '08,MC12 Corsa,2,2008,Italy,Legendary,Extreme Track Toys,115
3087,McLaren,650S Spider,650S Spider,,0,2014,UK,Epic,Modern Supercars,72
3088,Chevrolet,Chevrolet Silverado 1500 Drift Truck,Silverado DD,Silverado,0,2018,USA,Epic,Drift Cars,110
3091,Aston Martin,Vantage,AM Vantage '19,,0,2019,UK,Epic,GT Cars,73
3107,Mercedes,G 63 AMG 6x6,M-B G 63 6x6,G 63 6x6,0,2014,Germany,,Pickups & 4x4s,159
3108,Ford,Mustang RTR Spec 5,Ford Mustang S5,Mustang RTR,1,2018,USA,Rare,Modern Muscle,61
3110,Jeep,Wrangler Unlimited,Jeep Wrangler DD,Wrangler,0,2013,USA,Common,Pickups & 4x4s,85
3117,Porsche,718 Cayman GTS,Porsche 718 GTS,Cayman GTS,1,2018,Germany,Epic,Track Toys,64
3118,Chevrolet,Corvette ZR1,Corvette '19,,0,2019,USA,Legendary,Classic Sports Cars,70
3120,Lamborghini,Urus,Urus '19,,0,2019,Italy,Rare,Sports Utility Heroes,85
3123,Porsche,911 Carrera S,Porsche 911 '19,,0,2019,Germany,Rare,Modern Sports Cars,64
3128,Ford,#25 'Brocky' Ultra4 Bronco RTR,#25 Ford Bronco,Bronco,0,2017,USA,Epic,Unlimited Offroad,150
3129,Renault,Mégane R26.R,Mégane R26.R,Mégane,0,2008,France,Rare,Hot Hatch,60
3132,Mini,X-Raid John Cooper Works Buggy,MINI JCW Buggy,Buggy,2,2018,UK,,Offroad,325
3134,Renault,Mégane R.S.,Mégane R.S. '18,,0,2018,France,Rare,Hot Hatch,50
3141,Apollo,Intensa Emozione,Apollo IE '19,,0,2019,Germany,,Extreme Track Toys,100
3149,Chevrolet,Camaro ZL1 1LE,Chevy Camaro '18,Camaro ZL1,0,2018,USA,Rare,Track Toys,72
3153,McLaren,600LT Coupé,McLaren 600LT,,0,2018,UK,Epic,Track Toys,72
3156,McLaren,Speedtail,Speedtail '19,,0,2019,UK,Legendary,Hypercars,72
3170,Ford,Supervan 3,Ford Supervan 3,,0,1994,USA,Epic,Track Toys,200
3173,BMW,Z4 Roadster,BMW Z4 '19,,0,2019,Germany,Rare,Modern Sports Cars,52
3176,Mercedes,AMG Hammer Coupé,AMG Hammer Coupé,Hammer,1,1987,Germany,Common,Retro Super Saloons,70
3180,Peugeot,205 Rallye,Peugeot 205 R,,0,1991,France,Rare,Retro Hot Hatch,50
3184,Ford,#5 Escort RS1800 MkII,#5 Escort '77,Escort RS1800,0,1977,USA,Epic,Classic Rally,41
3185,Aston Martin,DBS Superleggera,AM DBS SL '19,,0,2019,UK,,Super GT,78
3187,Porsche,Macan LPR Rally Raid,Porsche Macan RR,Macan Rally,0,2018,Germany,Epic,Offroad,400
3189,Hennessey,Ford F-150 VelociRaptor 6X6,VelociRaptor '19,VelociRaptor,1,2019,USA,Legendary,Pickups & 4x4s,136
3190,Ford,F-150 SVT Lightning,Ford Lightning,F-150 Lightning,1,2003,USA,Common,Pickups & 4x4s,95
3211,Aston Martin,Vulcan AMR Pro,AM Vulcan AMR,,0,2017,UK,Legendary,Extreme Track Toys,120
3212,Zenvo,TSR-S,Zenvo TSR-S,,2,2019,Denmark,Legendary,Hypercars,69
3214,Porsche,#70 Porsche Motorsport 935,#70 Porsche 935,935,2,2019,Germany,Legendary,Extreme Track Toys,115
3225,Ferrari,Portofino,Portofino '18,,0,2018,Italy,Epic,Super GT,80
3226,Ferrari,J50,Ferrari J50 '17,,2,2017,Italy,Rare,Modern Supercars,78
3227,Ferrari,488 Pista,488 Pista '19,,0,2019,Italy,Epic,Track Toys,78
3228,Ford,Racing Puma,Ford Racing Puma,,0,1999,USA,Rare,Retro Rally,55
3232,Chevrolet,#777 Chevrolet Corvette,#777 Corvette,Corvette,0,2013,USA,Legendary,Classic Sports Cars,78
3235,Volkswagen,Pickup LX,VW Pickup '82,Pickup,2,1982,Germany,Epic,Utility Heroes,60
3241,Subaru,WRX STI ARX Supercar,SUBARU STI ARX,STI ARX,2,2018,Japan,Epic,Rally Monsters,30
3249,Ferrari,#117 599 GTB Fiorano,Formula D 599,Fiorano,0,2007,USA,Epic,Drift Cars,105
3250,Mercedes,E 63 S,Mercedes-AMG E63,,0,2018,Germany,Epic,Modern Super Saloons,80
3255,Jeep,JT,Jeep JT,,2,2020,USA,Common,Pickups & 4x4s,83
3257,Nissan,Pulsar GTI-R,Nissan Pulsar,,0,1990,Japan,Rare,Retro Rally,50
3277,Ford,Mustang Shelby GT500,Ford GT500 '20,,1,2020,USA,Rare,Modern Muscle,61
3287,Jaguar,Sport XJR-15,Jaguar XJR-15,XJR-15,2,1991,UK,Legendary,Retro Supercars,105
3288,Schuppan,962CR,Schuppan 962CR,,2,1993,UK,,Retro Supercars,120
3289,Lamborghini,Aventador SVJ,Aventador SVJ,,0,2018,Italy,Legendary,Hypercars,85
3293,Jaguar,XJ220S TWR,Jaguar XJ220S,,0,1993,UK,Rare,Retro Supercars,100
3307,Nissan,370Z Nismo,Nissan 370Z '19,,0,2019,Japan,Rare,Modern Sports Cars,72
3311,Ferrari,FXX-K Evo,Ferrari FXX-K E,,0,2018,Italy,Legendary,Extreme Track Toys,86
3312,Ferrari,Monza SP2,Ferrari Monza,,0,2019,Italy,Legendary,Super GT,90
3315,Koenigsegg,Jesko,Koenigsegg Jesko,,2,2020,Sweden,Legendary,Hypercars,72
3318,Audi,RS 4 Avant,RS 4 Avant '18,RS 4,0,2018,Germany,Common,Retro Super Saloons,58
3359,Audi,RS e-tron GT,Audi RS e-tron,,0,2021,Germany,Epic,Modern Super Saloons,97
3363,Nissan,#23 Pennzoil NISMO Skyline GT-R,Nis. #23 GT-R,Pennzoil GT-R,0,1998,Japan,,Retro Racers,100
3364,Aston Martin,Valhalla Concept Car,Valhalla Concept,Valhalla,0,2019,UK,,Hypercars,65
3367,Ferrari,F8 Tributo,F8 Tributo '19,,0,2019,Italy,,Modern Supercars,78
3369,Chevrolet,Corvette Stingray Coupé,Corvette C8 '20,,0,2020,USA,,Classic Muscle,70
3371,Lamborghini,Huracán EVO,Huracán EVO,,0,2020,Italy,,Modern Supercars,83
3373,Toyota,4Runner TRD Pro,Toyota 4Runner,4Runner,0,2019,Japan,Rare,Pickups & 4x4s,87
3374,Toyota,Tacoma TRD Pro,Toyota Tacoma,Tacoma,0,2019,Japan,Rare,Pickups & 4x4s,80
3395,Renault,8 Gordini,Renault 8,Gordini,0,1967,France,,Classic Rally,63
3400,Mazda,#99 Mazda RX-8,#99 Mazda RX-8,RX-8,0,2009,USA,Epic,Drift Cars,50
3402,Toyota,GR Supra,Toyota Supra '20,Supra,0,2020,Japan,Rare,Modern Sports Cars,52
3404,Ford,#2069 Ford Performance Bronco R,#2069 Bronco R,Bronco R,0,2020,USA,Epic,Offroad,265
3411,Toyota,#34 Toyota Supra MkIV,#34 Toyota Supra,Supra,0,2020,Japan,Rare,Modern Sports Cars,
3412,Subaru,STI S209,SUBARU STI S209,,0,2019,Japan,,Modern Rally,60
3413,Volkswagen,Golf R,VW Golf R '21,,0,2021,Germany,Rare,Super Hot Hatch,50
3414,Land Rover,Defender 110 X,LR Defender '20,Defender,0,2020,UK,Common,Sports Utility Heroes,90
3434,BMW,M2 Competition Coupé,BMW M2 Comp,M2,0,2020,Germany,Epic,Modern Super Saloons,52
3439,DeBerti,"Ford Super Duty F-250 Lariat ""Transformer""",DeBerti F-250,F-250,0,2019,USA,Epic,Unlimited Offroad,170
3441,Toyota,Toyota Tacoma TRD 'The Performance Truck',DD Tacoma TRD,Tacoma,0,2019,USA,Common,Drift Cars,
3445,Porsche,Taycan Turbo S,Porsche Taycan S,Taycan,0,2020,Germany,Common,Modern Super Saloons,97
3449,Lotus,Evija,Lotus Evija '20,,2,2020,UK,Legendary,Hypercars,93
3454,Audi,RS 3 Sedan,Audi RS 3 '20,RS 3,0,2020,Germany,Rare,Modern Super Saloons,55
3476,Ford,Super Duty F-450 DRW PLATINUM,Ford SD F-450,F-450,2,2020,USA,Common,Pickups & 4x4s,180
3477,Chevrolet,Silverado LT Trail Boss,Chevy Trail Boss,Silverado,0,2020,USA,Rare,Pickups & 4x4s,91
3482,McLaren,765LT Coupé,McL. 765 '21,,0,2021,UK,Epic,Track Toys,72
3486,Traffic,Wrangler Rubicon Traffic,Wrangler T,,0,,,,,
3498,Saleen,S7 LM,Saleen S7 LM,,2,2017,USA,,Extreme Track Toys,72
3518,BMW,M8 Competition Coupé,BMW M8 Comp,M8 Competition,0,2020,Germany,Rare,GT Cars,76
3520,Lexus,LC 500,Lexus LC 500 '21,,2,2021,USA,Rare,GT Cars,82
3523,Toyota,#151 Toyota GR Supra,#151 FD Supra,Supra,0,2020,Japan,Rare,Modern Sports Cars,
3524,Toyota,#411 Toyota Corolla Hatchback,#411 FD Corolla,Corolla,0,1974,Japan,,Classic Sports Cars,
3533,Volkswagen,Golf R,VW Golf R '22,,0,2022,Germany,Rare,Super Hot Hatch,55
3534,Mini,John Cooper Works GP,MINI JCW GP '21,JWC GP,2,2021,UK,Rare,Hot Hatch,44
3539,Sierra,#23 Yokohama ALPHA,#23 SIERRA ALPHA,Alpha,2,2020,USA,Epic,Extreme Track Toys,25
3540,Sierra,RX3,SIERRA RX3,,2,2021,USA,Rare,UTVs,28
3543,Pagani,Huayra R,Huayra R '22,,0,2021,Italy,Legendary,Extreme Track Toys,74
3548,Wuling,Sunshine S,Wuling Sunshine,,0,2013,China,Rare,Utility Heroes,50
3549,Alumicraft,#122 Class 1 Buggy,#122 AC Class 1,Buggy,2,2021,USA,Epic,Unlimited Buggies,120
3551,BMW,#91 BMW M2,#91 BMW M2,M2,0,2023,USA,Epic,Drift Cars,52
3554,Mitsubishi,#1 Sierra Sierra Enterprises Lancer Evolution Time Attack,#1 Evolution TA,Evo Time Attack,0,2005,Japan,,Extreme Track Toys,106
3580,Aston Martin,DBX,AM DBX '21,,2,2021,UK,,Sports Utility Heroes,85
3583,Audi,RS 6 Avant,Audi RS 6 '21,RS 6,0,2021,Germany,Rare,Modern Super Saloons,73
3584,Audi,RS 7 Sportback,Audi RS 7 '21,RS 7,0,2021,Germany,Epic,Modern Super Saloons,73
3590,Chevrolet,K-10 Custom,Chevy K10 '72,,2,1972,USA,Common,Pickups & 4x4s,76
3594,Ferrari,Roma,Ferrari Roma,,0,2020,Italy,,Super GT,80
3595,Ferrari,SF90 Stradale,SF90 Stradale,,0,2020,Italy,Legendary,Hypercars,68
3597,Ford,F-150 XLT Lariat,Ford F-150 '86,F-150 ,0,1986,USA,Common,Pickups & 4x4s,72
3599,GMA,T.50,GMA T.50,,2,2020,UK,Legendary,Hypercars,80
3600,Hennessey,Venom F5,Venom F5,Venom,2,2021,USA,Legendary,Hypercars,90
3603,Casey Currie,"#4402 Ultra 4 ""Trophy Jeep""",#4402 Ultra 4,Jeep,0,2019,USA,,Unlimited Offroad,280
3604,Jimco,#179 Hammerhead Class 1,#179 Hammerhead,Hammerhead,2,2020,USA,Rare,Unlimited Buggies,227
3605,Jimco,#240 Fastball Racing Class 6100 Spec Trophy Truck,#240 Jimco TT,Trophy Truck,2,2019,USA,Epic,Unlimited Offroad,303
3606,Lamborghini,Essenza SCV12,Lambo SCV12,Essenza,0,2020,Italy,Legendary,Extreme Track Toys,92
3608,Lamborghini,Sián Roadster,Lambo Sián R,,0,2020,Italy,,Modern Supercars,85
3611,Maserati,MC20,Maserati MC20,,0,2022,Italy,Epic,Modern Supercars,60
3616,Mercedes,GT Black Series,AMG GT Black,,0,2020,Germany,Epic,Track Toys,75
3617,Mercedes,SL 63,M-AMG SL 63 '21,,0,2021,Germany,Rare,GT Cars,70
3622,Nissan,GT-R NISMO (R35),Nissan GTR '20,GT-R Nismo,0,2020,Japan,Epic,Track Toys,74
3625,Rimac,Nevera,Rimac Nevera,,0,2021,Croatia,Legendary,Hypercars,110
3629,Toyota,GR Yaris,Toyota GR Yaris,,0,2021,Japan,Epic,Modern Rally,50
3631,Aston Martin,Valkyrie AMR Pro,AM Valkyrie AMR,,0,2022,UK,Legendary,Extreme Track Toys,73
3645,BMW,M4 Competition Coupé,BMW M4 '21,M4 Competition,0,2021,Germany,Rare,Modern Super Saloons,59
3650,Mercedes,Mercedes-AMG ONE,Mercedes-AMG ONE,,1,2021,Germany,Legendary,Hypercars,55
3655,McLaren,620R,McLaren 620R,,2,2021,UK,,Track Toys,72
3657,RIVIAN,R1T,RIVIAN R1T,,2,2022,USA,Epic,Pickups & 4x4s,141
3661,Lotus,Exige Cup 430,Lotus Exige '18,Exige Cup,0,2018,UK,,Track Toys,48
3662,Polaris,#37 Polaris RZR Pro 4 Truck,#37 Pro 4 Truck,RZR,2,2021,USA,,Unlimited Offroad,50
3665,SIERRA,700R,SIERRA 700R,,2,2021,USA,Rare,UTVs,30
3667,Porsche,911 GT3,911 GT3 '21,,1,2021,Germany,Rare,Retro Supercars,64
3668,McLaren,Artura,McL. Artura '23,,2,2023,UK,Epic,Modern Supercars,65
3670,Ford,#4 Ford Focus RS,#4 Ford Focus,Focus RS,0,2001,USA,Rare,Rally Monsters,80
3672,Lamborghini,Huracán STO,Huracán STO,,0,2020,Italy,Legendary,Track Toys,80
3678,Hyundai,i30 N,Hyundai i30 N,,0,2020,Korea,Rare,Super Hot Hatch,50
3686,Polaris,RZR Pro XP Factory Racing Limited Edition,RZR Racing,RZR Racing,2,2021,USA,Rare,UTVs,45
3687,Polaris,RZR Pro XP Ultimate,Polaris RZR Pro,RZR Pro,2,2021,USA,Rare,UTVs,45
3692,Ford,F-150 Lightning,F-150 Lightning,,0,2022,USA,Epic,Pickups & 4x4s,98
3693,Alumicraft,#6165 Trick Truck,#6165 Truck,Trick Truck,2,2022,USA,Epic,Unlimited Offroad,150
3698,Porsche,Mission R,Porsche MissionR,,2,2021,Germany,Legendary,Extreme Track Toys,80
3700,McLaren,Sabre,McL. Sabre '21,,2,2021,UK,,Hypercars,72
3716,Lotus,Emira,Lotus Emira,,2,2023,UK,,Modern Sports Cars,60
3719,Cadillac,CT4-V Blackwing,Cadillac CT4-V,,0,2022,USA,Rare,Modern Muscle,64
3720,Cadillac,CT5-V Blackwing,Cadillac CT5-V,,0,2022,USA,Rare,Modern Muscle,64
3722,HUMMER,EV Pickup,HUMMER EV Truck,,2,2022,USA,Epic,Pickups & 4x4s,175
3724,Ferrari,296 GTB,Ferrari 296 GTB,,2,2022,Italy,Epic,Modern Supercars,65
3726,Honda,Integra A-Spec,Integra '23,,0,2023,Japan,Epic,Extreme Track Toys,47
3728,Bentley,Continental GT Convertible,Bentley Cont GTC,Continental GT,0,2021,UK,Rare,GT Cars,90
3735,Subaru,BRZ,SUBARU BRZ '22,,2,2022,Japan,Common,Modern Sports Cars,50
3736,Ford,Bronco Raptor,Bronco Raptor,,0,2022,USA,Epic,Pickups & 4x4s,79
3737,BMW,iX xDrive50,BMW iX '22,iX,2,2022,Germany,Rare,Sports Utility Heroes,107
3744,Nissan,#64 Forsberg Racing Nissan Z,#64 Nissan Z,Racing Z,2,2023,USA,Epic,Drift Cars,50
3745,Audi,R8 V10 Performance,Audi R8 '20,R8 V10,0,2020,Germany,Rare,Modern Supercars,73
3750,Mitsubishi,Montero Exceed 2800 TD,Montero '95,Montero,0,1995,Japan,Rare,Pickups & 4x4s,92
3753,Lamborghini,Huracán Tecnica,Huracán Tecnica,Huracán,0,2022,Italy,Legendary,Modern Supercars,80
3755,Ford,Supervan 4,Ford SuperVan 4,,0,2022,USA,,Extreme Track Toys,50
3760,Porsche,718 Cayman GT4 RS,Cayman GT4 RS,Cayman GT4,1,2022,Germany,Epic,Track Toys,64
3761,Toyota,GR86,Toyota GR86 '22,,0,2022,Japan,Common,Modern Sports Cars,50
3763,BMW,M2,BMW M2 '23,,0,2023,Germany,Rare,Modern Super Saloons,52
3764,BMW,M5 CS,BMW M5 '22,,0,2022,Germany,Rare,Modern Super Saloons,76
3766,Chevrolet,Corvette Z06,Corvette Z06 '23,,0,2023,USA,Legendary,Classic Sports Cars,70
3767,Acura,NSX Type S,Acura NSX '22,,0,2022,USA,Epic,Modern Supercars,59
3771,Chevrolet,Corvette E-Ray,Corvette E-Ray,,1,2024,USA,Epic,Modern Supercars,70
3773,Honda,Civic Type R,Honda Civic '23,,0,2023,Japan,Common,Retro Hot Hatch,47
3774,Lamborghini,Countach LPI 800-4,L. Countach '21,Countach,0,2021,Italy,Legendary,Hypercars,70
3775,Lamborghini,Aventador LP 780-4 Ultimae,L. Aventador '21,Aventador,0,2021,Italy,,Hypercars,85
3781,Porsche,911 GT3 RS,P. 911 GT3 RS 23,,1,2023,Germany,Rare,Retro Supercars,64
3783,Volkswagen,Rallye Golf,VW Rallye Golf,,0,1989,Germany,,Retro Rally,55
3785,Toyota,Soarer 2.5 GT-T,Soarer '97,Soarer,0,1997,Japan,Rare,Retro Sports Cars,78
3789,Wuling,Hongguang Mini EV,Wuling Mini EV,Mini EV,2,2022,China,Rare,Hot Hatch,17
3795,Meyers,Manx 2.0,Meyers Manx 2.0,Manx,2,2023,USA,Epic,Buggies,40
3798,Mazda,MX-5 Cup,MX-5 Cup '17,,0,2017,Japan,Epic,Track Toys,45
3811,Lucid,Air Sapphire,Lucid Air,Air,2,2024,USA,Rare,Modern Super Saloons,110
3819,Subaru,WRX,SUBARU WRX '22,,2,2022,Japan,Common,Modern Rally,63
3823,Mazda,MX-5 Miata RF,Mazda MX-5 RF,Miata RF,0,2022,Japan,Epic,Modern Sports Cars,45
3827,Hyundai,IONIQ 5 N,IONIQ 5 N '23,,0,2023,Korea,Rare,Sports Utility Heroes,80
3829,Hyundai,N Vision 74,N Vision 74 '22,,0,2022,Korea,Rare,Track Toys,
3840,Lamborghini,Huracán Sterrato,Huracán Sterrato,,0,2022,Italy,,Rally Monsters,80
3846,Ford,Mustang GT,Ford Mustang '24,,1,2024,USA,Rare,Classic Muscle,61
3847,Ford,Mustang Dark Horse,Ford Dark Horse,,1,2024,USA,Epic,Modern Muscle,61
3848,Toyota,Camry TRD,Toyota Camry '23,Camry,0,2023,Japan,Epic,Modern Super Saloons,60
